iter,rr,sl_buffer_pips,pip_size,trades,final_equity,total_return_%,favourable
1,0.8,0.2,0.0001,664,9384.353175119413,-90.61564682488059,False
2,0.8,0.5,0.0001,664,14447.498258796126,-85.55250174120388,False
3,0.8,1.0,0.0001,664,20422.407128593386,-79.57759287140661,False
4,0.8,2.0,0.0001,664,28385.547030414167,-71.61445296958584,False
5,0.8,3.0,0.0001,664,36193.68733252243,-63.80631266747757,False
6,0.8,5.0,0.0001,664,51546.69269636467,-48.45330730363533,False
7,0.8,8.0,0.0001,665,66646.98335429931,-33.353016645700684,False
8,0.8,10.0,0.0001,665,67718.22246683028,-32.281777533169716,False
9,1.0,0.2,0.0001,664,12864.340737555513,-87.13565926244449,False
10,1.0,0.5,0.0001,664,20525.0460795667,-79.4749539204333,False
11,1.0,1.0,0.0001,664,27424.997741335348,-72.57500225866464,False
12,1.0,2.0,0.0001,664,39111.027793876114,-60.88897220612388,False
13,1.0,3.0,0.0001,664,46116.23878108937,-53.88376121891063,False
14,1.0,5.0,0.0001,664,63971.316259309824,-36.02868374069017,False
15,1.0,8.0,0.0001,665,78343.63203908599,-21.656367960914015,False
16,1.0,10.0,0.0001,664,77262.34168323578,-22.737658316764218,False
17,1.5,0.2,0.0001,664,25930.923118510564,-74.06907688148944,False
18,1.5,0.5,0.0001,664,40118.48885607954,-59.88151114392046,False
19,1.5,1.0,0.0001,664,57165.24793338406,-42.83475206661594,False
20,1.5,2.0,0.0001,664,71191.683998974,-28.808316001026,False
21,1.5,3.0,0.0001,664,74443.40655626051,-25.556593443739494,False
22,1.5,5.0,0.0001,663,69597.7224466983,-30.402277553301694,False
23,1.5,8.0,0.0001,663,79470.14349086967,-20.52985650913033,False
24,1.5,10.0,0.0001,662,94736.70629640321,-5.263293703596794,False
25,2.0,0.2,0.0001,664,43115.30939018837,-56.88469060981163,False
26,2.0,0.5,0.0001,664,62787.430490524566,-37.212569509475436,False
27,2.0,1.0,0.0001,664,69356.34401857937,-30.643655981420626,False
28,2.0,2.0,0.0001,663,72558.77787130766,-27.441222128692345,False
29,2.0,3.0,0.0001,663,96345.02890922502,-3.6549710907749833,False
30,2.0,5.0,0.0001,661,103106.36752901251,3.1063675290124992,True
31,2.0,8.0,0.0001,662,102336.11393357386,2.336113933573847,True
32,2.0,10.0,0.0001,662,113711.60139479113,13.711601394791128,True
33,2.5,0.2,0.0001,664,63156.697945001455,-36.84330205499855,False
34,2.5,0.5,0.0001,663,84929.84967438984,-15.070150325610154,False
35,2.5,1.0,0.0001,663,103592.5234081116,3.592523408111603,True
36,2.5,2.0,0.0001,663,126378.99017300583,26.378990173005825,True
37,2.5,3.0,0.0001,662,124597.9990703539,24.597999070353893,True
38,2.5,5.0,0.0001,661,127410.05268211752,27.410052682117513,True
39,2.5,8.0,0.0001,662,117389.89700055167,17.38989700055167,True
40,2.5,10.0,0.0001,662,127847.05982639131,27.84705982639131,True
41,3.0,0.2,0.0001,663,93296.92318812059,-6.703076811879405,False
42,3.0,0.5,0.0001,663,134374.51297754268,34.37451297754268,True
43,3.0,1.0,0.0001,663,152865.63938243338,52.865639382433386,True
44,3.0,2.0,0.0001,662,169878.8439618387,69.8788439618387,True
45,3.0,3.0,0.0001,662,164037.56729488328,64.03756729488327,True
46,3.0,5.0,0.0001,661,160432.35543503842,60.43235543503842,True
47,3.0,8.0,0.0001,661,120722.16141508693,20.722161415086937,True
48,3.0,10.0,0.0001,660,114469.63016693239,14.46963016693239,True
